iter	Passed	Remaining
685	1268	580
686	1270	578
687	1272	577
688	1274	575
689	1275	573
690	1277	571
691	1279	569
692	1281	567
693	1283	565
694	1285	564
695	1287	562
696	1288	560
697	1290	558
698	1292	556
699	1293	554
700	1295	552
701	1297	550
702	1299	549
703	1301	547
704	1303	545
705	1305	543
706	1306	541
707	1308	539
708	1310	537
709	1311	535
710	1313	534
711	1315	532
712	1317	530
713	1319	528
714	1320	526
715	1322	524
716	1324	522
717	1325	520
718	1327	518
719	1329	516
720	1331	515
721	1333	513
722	1335	511
723	1337	509
724	1339	507
725	1340	505
726	1342	504
727	1344	502
728	1346	500
729	1348	498
730	1349	496
731	1351	494
732	1353	493
733	1355	491
734	1356	489
735	1358	487
736	1360	485
737	1362	483
738	1364	481
739	1366	480
740	1368	478
741	1370	476
742	1372	474
743	1373	472
744	1375	470
745	1377	468
746	1379	467
747	1381	465
748	1382	463
749	1384	461
750	1386	459
751	1388	457
752	1389	455
753	1391	454
754	1393	452
755	1394	450
756	1397	448
757	1398	446
758	1400	444
759	1402	442
760	1404	440
761	1406	439
762	1407	437
763	1409	435
764	1411	433
765	1412	431
766	1414	429
767	1416	427
768	1417	425
769	1419	424
770	1421	422
771	1422	420
772	1424	418
773	1426	416
774	1428	414
775	1429	412
776	1431	410
777	1433	409
778	1435	407
779	1437	405
780	1439	403
781	1440	401
782	1442	399
783	1444	397
784	1445	396
785	1447	394
786	1449	392
787	1451	390
788	1453	388
789	1455	386
790	1458	385
791	1460	383
792	1462	381
793	1463	379
794	1465	377
795	1467	376
796	1469	374
797	1470	372
798	1472	370
799	1474	368
800	1476	366
801	1478	364
802	1479	363
803	1481	361
804	1483	359
805	1485	357
806	1486	355
807	1488	353
808	1490	351
809	1491	349
810	1493	348
811	1495	346
812	1497	344
813	1499	342
814	1501	340
815	1502	338
816	1504	336
817	1506	335
818	1507	333
819	1509	331
820	1511	329
821	1513	327
822	1515	325
823	1517	324
824	1518	322
825	1520	320
826	1522	318
827	1524	316
828	1526	314
829	1528	312
830	1529	311
831	1531	309
832	1533	307
833	1534	305
834	1536	303
835	1538	301
836	1540	299
837	1542	298
838	1543	296
839	1546	294
840	1548	292
841	1550	290
842	1551	289
843	1553	287
844	1556	285
845	1557	283
846	1559	281
847	1561	279
848	1563	278
849	1564	276
850	1566	274
851	1568	272
852	1570	270
853	1571	268
854	1573	266
855	1575	265
856	1577	263
857	1579	261
858	1580	259
859	1582	257
860	1584	255
861	1586	253
862	1588	252
863	1590	250
864	1592	248
865	1594	246
866	1595	244
867	1597	242
868	1599	241
869	1600	239
870	1603	237
871	1605	235
872	1607	233
873	1608	231
874	1610	230
875	1613	228
876	1615	226
877	1616	224
878	1618	222
879	1620	220
880	1622	219
881	1623	217
882	1625	215
883	1627	213
884	1629	211
885	1631	209
886	1632	208
887	1634	206
888	1636	204
889	1638	202
890	1639	200
891	1641	198
892	1643	196
893	1645	195
894	1647	193
895	1649	191
896	1650	189
897	1652	187
898	1654	185
